left context,original word,right context,word correction,hun correction
kann,dna-proben,mit,da,DNA-proben
feststellen,temperatur,tatsächliche,Temperatur,Temperatur
voll,hotel,das,hotel,Hotel
-,erfolg,viel,Erfolg,Erfolg
aufgedreht,nix,wir,nix,Unix
-,Nachtkastl,vom,Nachtasyl,Nachtkaste
Frühstück,Leeds,in,Leeds,Lees
genau,gab's,Frühstück,gab's,Gabys
isss,Brreeeakfast,verkündete,Brreeeakfast,Fastenbrechen
rrready,isss,Brreeeakfast,iss,iss
Am,rrready,isss,rrready,Readymade
you,Arrre,Frage,Rarer,Rarer
coming,you,Arrre,you,YouTube
orrr,coming,you,coming,Cognomina
not,orrr,coming,Ort,Horror
veranlasst,not,orrr,not,Not
mir,haben's,Wir,haben's,Habens
nach,gehts,mal,gehst,gehst
in,familienzimmer,-,Familien Zimmer,Familienzimmer
in,hotel,einem,hotel,Hotel
angeblich,mönichkirchen,in,mönichkirchen,Kircheninneren
verstaubte,stern,4,stern,Stern
im,männerunterhose,verstaubte,Männer Unterhose,Männerunterhose
ein,kasten,im,Kasten,Kasten
mit,telephon,rotes,Telefon,Telephon
am,wählscheibe,mit,Wählscheibe,Wählscheibe
wie,nachkastl,am,nachkamst,nachkantisch
besten,breschnjews,aus,Breschnews,brechtsches
und,zeiten,besten,Zeiten,Zeiten
der,dreh-lichtschalter,ein,dreh-lichtschalter,-drehlichtschalter
oder,ventilator,uralten,ventilator,Ventilator
aktiviert,nachkastllampe,die,nachkastllampe,Nachkommastelle
ein,wohnraum,im,Wohnraum,Wohnraum
glasvitrinenschrank,grosser,ausrangierter,grosser,großer
komplett,glasvitrinenschrank,grosser,Glasvitrinen Schrank,Glasvitrinenschrank
bogen,grossen,einer,Großen,großen
schräges,kategorie,die,Kategorie,Kategorie
erlebnis,hotelerlebnis,schräges,Hotel Erlebnis,Hotelerlebnis
einordnen,erlebnis,hotelerlebnis,Erlebnis,Erlebnis
aber,reiterhof,ein,Reiter Hof,Reiterhof
für,reiturlaub,genug,Resturlaub,Reiturlaub
mit,familie,für,Familie,Familie
und,kindern-6,zwei,kindern-6,Kindern-6
einem,jahre-in,11,Jahre,Jahre-in
in,reiterhof,einem,Reiter Hof,Reiterhof
an,weißenbach,in,Weidenbach,Weißenbach
gebucht,enns,der,Enns,Enns
ohne,appartement,gebucht,Appartement,Appartement
wurde,kochgelegenheit,ohne,Kochgelegenheit,Kochgelegenheit
angepriesen,ferienwohnung,als,Ferienwohnung,Ferienwohnung
und,reitstunden,tägliche,Reitstunden,reit stunden
mithilfe,pflegepferde,und,Pflege Pferde,Pflegepferde
usw,stall,im,stall,Stall
tatsächlich,usw,stall,usw.,usw.
eine,glück,viel,glück,Glück
für,tag,am,tag,Tag
für,kinder-nix,die,kinder-nix,Kinder-nix
mit,bad,erwachsene,bad,bat
spinnweben,schimmelkultur,ausgeprägter,Schimmel Kultur,Schimmelkultur
wie,spinnweben,schimmelkultur,Spinnweben,Spinnweben
e-verbindungsdosen,munsters,den,Munsters,Musterns
wo,e-verbindungsdosen,munsters,verbindungslosen,-verbindungsdosen
heraus,drähte,blanken,Drähte,Drähte
hunde,riesen,drei,riesen,reisen
welche,hunde,riesen,Hunde,Hunde
und,ställen,den,Ställen,Ställen
in,misthaufen,und,Misthaufen,Misthaufen
trabten,küche,die,Küche,Küche
aus,durst,ihren,durst,Durst
stillten,wc-muscheln,den,wo,WC-muscheln
nach,abruch,stillten,Abbruch,brauch
und,nächten,3,Nächten,Nächten
welche,besitzerin,eine,Besitzerin,Besitzerin
hatte,frechheit,die,Frechheit,Frechheit
-,erlebnis,ein,Erlebnis,Erlebnis
vor,zimmer,2,Zimmer,zimmer
wars,ort,vor,ort,rot
dann,wars,ort,wars,ward
zimmer,7er,ein,7er,er
juhu,zimmer,7er,Zimmer,zimmer
-,juhu,zimmer,juhu,-uhu
-,Exfreundin,meiner,Exfreunden,Exfreundin
Eisenteile,wegstehenden,die,wegstehenden,wegsehenden
unangenehm,aüßerst,waren,äußerst,versüßest
und,Ohridsee,zum,Ohridsee,Ohridee
mit,Privatquatier,tolles,Privatquartier,Privatquartier
expertis,soviele,da,soviel,soviel
hier,expertis,soviele,Expertise,Expertise
möchte,posten,hier,posten,Posten
loswerden,herzenswunsch,meinen,Herzenswunsch,Herzenswunsch
Weltris,teris-nachfolger,den,Ternis,terig-nachfolger
gespielt,Weltris,teris-nachfolger,Weltrats,Weltriss
braucht,gegner/verlierer/gewinner,faden,Gegner,Gewinnerzielungsgründen
gefragt,reaktionsfähigeit,und,Reaktionsfähigkeit,reaktionsfähig
durchsucht,netzt,im,netzt,nett
würde,erfolg,ohne,Erfolg,Erfolg
oder,link,einen,link,Link
mein,mac,zum,mac,Mac
hatte,e-mac,mein,e-mac,e-Mac
II,nadeldrucker,schweren,Nadeldrucker,Nadeldrucker
schlappe,paradise,von,paradise,Paradies
gekostet,deutschmark,9000,deutschmark,Deutschmark
gegangen,hopps,mal,Hopps,Mopps
ich,hab',jetzt,hab',hab
-,gehäuse,das,Gehäuse,Gehäuse
es,hab',-,hab',hab
wahr,weil's,Na,weil's,Weills
kann,sowas,ist,so was,Iowas
die,Tripadvisor,dank,Tripadvisor,Trippstadter
weiß,Maps,Google,Maps,Maos
z,gibts,Osteuropa,gibst,gibst
Städten,beliebsten,in,beliebten,beliebten
oder,Wroclaw,Riga,Wroclaw,Jaroslawl
Booking,Tripadvisor,bei,Tripadvisor,Trippstadter
com,Booking,Tripadvisor,Booking,Smoking
etc,com,Booking,com,vom
geschrieben,etc,com,etc.,et
nur,wars,Oder,wars,ward
passt,sonstwas,noch,sonst was,sonst was
Und,Space-Bordell,einem,Space-Bordell,Spate-Bordell
nie,Uaah,fleckig,Utah,Utah
kommt,derStandi-Regi,mit,derStandi-Regi,Widerstand-Regi
oder,dieStandi,in,dastand,Stadien
Irland,Gallway,in,Gülay,Gallylen
Duschvorhang,schlatzig-verschimmelte,total,schattig,Hitzschlag-verschimmelte
einen,gabs,Frühstück,gabs,gab
mit,Pantscherl,dem,Pantscher,Plantsche
in,Tustan,Hotel,Tust an,Tust an
Ukraine,Drohobytsch,in,Drohobytsch,Hydrolytisch
Ich,duschen/baden,Hotels,duschen/baden,abduschenden
Nacht,durchzechten,einer,durchzechten,durchzechtem
in,bspw,unter,bspw.,bspw.
Zimmergenossen,mehrbeinige,viele,mehrbeinige,mehr beinige
war,Möbilär,das,Mobiler,Möbliere
direkt,Jhd,18,Jhd.,Jod
Batar,Ulaan,in,Ulan,Ulan
haben,Batar,Ulaan,Baar,Baar
Champion,unsereren,Zimmer,unsere Ren,untereren
auch,funktioniert's,mir,funktioniertes,Funktionierens
noch,IE,mit,IE,SIE
-,firefox,mit,Firefox,Firefox
erwischt,gacken,beim,gackern,hacken
ja,muß,Gestank,muss,muss
erlebnis,bezeichnenstes,mein,bezeichnetes,bezeichnetes
hatte,erlebnis,bezeichnenstes,Erlebnis,Erlebnis
francisco,san,in,sang,sahn
meine,francisco,san,Francisco,Francisco
und,freundin,meine,Freundin,Freundin
als,sache,der,Sache,Sache
neben,mann,ein,Mann,Mann
stand,bett,unserem,Bett,Bett
ich,rausgerannt,sofort,rausgerannt,raus gerannt
war,hotelmanager,der,Hotel Manager,Hotelmanager
unser,gast,anderen,gast,sagt
aufgeperrt,zimmer,unser,Zimmer,zimmer
hat,aufgeperrt,zimmer,aufgesperrt,aufgesperrt
seins,wär,es,wär,wäre
allerdings,seins,wär,seins,Seins
anderen,nem,in,Nehm,dem
-,stock,anderen,stock,Stock
sie,Naja,-,Naja,Nama
wohl,wars,angenehm,warst,ward
aber,wär,einpacken,wär,wäre
Chili,Forza,-,Forza,Forsa
diablo,el,Chili,elf,elf
gefolgt,diablo,el,Diabolo,Diabolo
Tränentreiber,la,a,la,al
Durchlauf,Zwetschkenkompott,dem,Zwetschkenkompott,Zwetschgenkuchen
Frau,menschenliebende,eine,menschenliebende,menschenverderbende
sie,wär,sonst,wär,wäre
hätte,reingerannt,dir,reingerannt,eingerannt
und,runtergeschubst,dich,runtergeschubst,runter geschubst
-,draufgesetzt,selbst,draufgesetzt,daraufgesetzt
an,Meldeadresse/-stelle,eine,Meldeadresse/-stelle,Meldeadresse-stelle
mehrfach,Multiuser,einen,Multiuser,Multimeter
auffallend,Threads,in,Threads,Headset
zimmer,3qm,vom,3qm,qm
den,zimmer,3qm,Zimmer,zimmer
im,kakerlaken-fallen,den,Kakerlaken,Kakerlaken-fallen
und,mini-bad,verschimmelten,mini-bad,-minibad
mit,wolldecken,den,Wolldecken,Wolldecken
und,tigerkopf-,überdimensionalen,tigerkopf-,Kriegerkopf-
die,delphinmotiven,und,Delphin Motiven,Delphinarien
noch,dasein,tristen,Dasein,Dasein
gesehen,waschmaschine,eine,Waschmaschine,Waschmaschine
so,london,in,London,London
wo,shops,herrliche,Shops,Shops
zusammenstellen,knuspermix,einen,knuspermix,Knusperhexe
befülltes,ebensolchigem,mit,ebensolchem,ebensolchem
papiersackerl,befülltes,ebensolchigem,gefülltes,befülltes
hatte,papiersackerl,befülltes,Papiersäcke,Lackmuspapier
abgelegt,nachtkastl,am,Nachtasyl,Nachtkühle
wurde,nacht,der,Nacht,Nacht
und,kratz-,leisen,kratz-,kratz
geweckt,knuspergeräusch,und,knuspergeräusch,Knusperhäuschen
sitzen,sackerl,im,Säckel,ackerlos
starr,mampfen,genüsslich,kämpfen,Mampfen
hab,schreck,vor,schreck,Schreck
animalisches,nix,zwar,nix,Unix
die,raum,im,raum,Raum
-,knuspermaus,britische,knuspermaus,Knusperns
Nicht,Exfreundin,meiner,Exfreunden,Exfreundin
-,usw,Nacht,usw.,usw.
ja,is,das,ist,iss
Euch,hätt',ich,hätt',hätte
Nacht,durchzechten,einer,durchzechten,durchzechtem
Koarl,Jössas,Nacht,Jozas,Massas
mir,Koarl,Jössas,Karl,Karl
in,san,mir,sang,sahn
jo,Gibts,Indien,Gibst,Gifts
ned,jo,Gibts,Job,je
wie,ned,jo,neu,den
denn,kummst,wie,kommst,krummst
drauf,do,denn,do,so
vor,Drausst,drauf,Draus,Draufhaust
grod,Is,hob,Ist,GIs
glesn,grod,Is,grob,grob
Klosett,glesn,grod,Glens,Gleisner
ebenfalls,account,mein,account,Account
außergewöhnlich,gibts,London,gibst,gibst
die,bzw,gehört,bzw.,bzw.
überhaupt,W-Lan,das,Lang,W-LAN
nicht,posting,ein,Hosting,Postieren
und,gscheit,nicht,gescheit,gescheit
hinein,gedanken,meine,Gedanken,Gedanken
-,interpretation,meine,Interpretation,Interpretation
frage,DAnn,-,Dann,Dann
aber,hotel,kein,Hotel,Hotel
reservierungen,ÖBB,fast,ÖBB,BÖBIG
für,reservierungen,ÖBB,Reservierungen,Reservierungen
2,italien,für,Italien,Italien
+,personen,weibliche,Personen,Personen
für,reservierung,vorsorgliche,Reservierung,Reservierung
Ein,fahrten,alle,Fahrten,Fahrten
und,schlafwaggon,im,Schlafwagen,Schlafwaggon
ein,jedesmal,haben,jedes Mal,jedes mal
reserviert,frauenabteil,ein,Frauen Abteil,Frauenabteil
Wir,fall,der,fall,Fall
zusammengelegen,männern,mit,Männern,Männern
Allein,zusammengelegen,männern,zusammengelegen,zusammengelegten
habe,reservierungen,die,Reservierungen,Reservierungen
zusammen,eur,80,eur.,EUR
reicht,hotelerlebnisse,schlimme,Hotel Erlebnisse,Hotelerlebnisse
sollte,HOtels,Solche,Hotels,Hotels
nicht,Exfreundin,meine,Exfreunden,Exfreundin
auch,Locations,vielen,Locations,Lotsenstation
oder,Ringerl,ohne,Ringer,Ringer
vermietet,wohnung,Klein,Wohnung,Wohnung
darum,gehts,hier,gehst,gehst
topic,off,eher,off,soff
hier,topic,off,Topic,topisch
Dämpfe,Chlorhältige,auf,Chlor haltige,Chlorhaltige
schlafen,zimmer,schönen,Zimmer,zimmer
gab,internat,unserem,Internat,Internat
mit,stil,70er,Stil,Stil
in,stoffbezug,rauem,Stoff Bezug,Stoffbezug
im,hotel,das,Hotel,Hotel
den,ort,im,Ort,rot
So,internat,unser,Internat,Internat
im,nacht,letzte,Nacht,Nacht
und,bett,selben,Bett,Bett
verbracht,couch,gleichen,Couch,Couch
war,hotelerlebnis,schlimmstes,Hotel Erlebnis,Hotelerlebnis
in,peking,in,Peking,Peking
-,superhotel,einem,super Hotel,Superhotel
hat,sohn,12-jähriger,Sohn,Sohn
im,schlafwanderung,eine,schlaf Wanderung,Schlafwanderung
unternommen,stock,18,stock,Stock
hab,fluren,langen,Fluren,Fluren
und,barfuss,beider,barfuß,barfuß
gerade,pyjamas,in,Pyjamas,Pyjamas
erwischt,lift,vorm,Lift,lieft
englisch,receptionspersonal,das,receptionspersonal,Stationspersonal
um,1x,haben,1x,ex
und,23Uhr,um,23Uhr,Uhr
gute,ne,aber,ne,nie
doch,Gibs,-,Gäbs,Gins
und,inhalt-,weil,inhalt-,inhalts-
weiterhin,Spass,viel,Spaß,Spaß
war,Sexerlebnis,schlimmstes,Sexerlebnis,Seeerlebnis
weil,xy,war,Oxyd,xi
Ihr,derstandard,im,der Standard,Aderstandard
ersetzt,UID,eine,UID,UND
die,unlöschbar,wirklich,unlösbar,auslöschbar
einer,ersteinmal,mir,erst einmal,erst einmal
auch,zugebenermaßen,aber,zugebenermaßen,zugeben ermaßen
die,Tjaja,-,Jaja,Tja ja
war,Reception,die,Rezeption,Rezeption
mit,Snoopyaufdruck,mit,Snoopyaufdruck,Stempelaufdruck
Wir,Teddybärenaufdruck,mit,Teddybärenaufdruck,Stempelaufdruck
und,aufgeraucht,Marlboro,aufgeraucht,aufgetaucht
an,wirds,Jetzt,wird,wird
nicht,reissen,zu,Reißen,reißen
Geschockt,Piefkes,die,Piekest,Piesacke
und,D-Mark-,niederträchtigen,D-Mark-,Marken-
beinahe,Austriaken,diese,Austrinken,Austrinken
gar,Moretti,namens,Moretti,Timorer
zur,Alpentaliban,diese,Alpentaliban,Talibantrupp
wenn,Naja,-,Naja,Nama
erwartet,strandbuchten,weitläufige,strandbuchten,Strandbuchten
hat,stadt,die,Stadt,statt
zu,aufenthalt,den,Aufenthalt,Aufenthalt
damit,problem,kein,Problem,Problem
parken,ausserhalb,weit,außerhalb,außerhalb
selbst,stadt,die,Stadt,statt
aber,auto-los,recht,auto-los,auto- los
nicht,hotel,schlechten,Hotel,Hotel
viel,angranteln,-,angrinsten,an granteln
-,dragomira,gell,Dragomir,Mandragora
-,forum,öffentlichen,Forum,Forum
du,Ws,-,Was,WCs
ist,Sparkling,-,Sparkling,Sparklinge
kuscheln,schonmal,auch,schon mal,schon mal
autolos,Abbazia,-,Abazi,Abbaside
Nicht,autolos,Abbazia,Auto los,autolog
beim,könnens,parken,Könnens,Könnens
und,k&k-Städte,alte,k&k-Städte,Kapstädter
Bali,Denpasar,in,Denpasar,Basenpaar
Lage,verruchte,die,verruchte,verrichte
der,Sparkling,-,Sparkling,Sparklinge
Typin,Typ/die,der,Typ/die,Typisiere
der/die,Typin,Typ/die,Typen,Typen
schon,der/die,Typin,der/die,dezidiere
auf,verantwortung,die,Verantwortung,Verantwortung
abwälzen,poster,die,poster,Poster
meine,klarnamen,meinen,klarkamen,Klarnamen
meine,adresse,meine,Adresse,Adresse
kriegt,geburtsdaten,meine,Geburtsdaten,Geburtsdaten
politisch,zukunft,in,Zukunft,Zukunft
fascho-mainstream,ökologistischen,antihumanen,ökologistischen,ökologischen
angepasst,fascho-mainstream,ökologistischen,fasch,ASchO-mainstream
D,Stoascheißerkoarl,Da,Stoascheißerkoarl,Schließerkontakt
das,Anflegeln,Ist,An flegeln,Analegeln
an,Blanc,Sauvignon,Blanc,Blank
mit,Bro,-,Bor,Bor
ich,daß,Menschen,dass,dass
ungezogenes,gaaaanz,ein,Galaanzug,ganz
nehme,ihm/ihr,bei,ihm/ihr,ihriger
aus,Postings,die,Hostings,Postings
Deine,Bro,Ahnung,Bor,Bor
des,wahl,der,Wahl,Wahl
auf,hotels,des,Hotels,Hotels
alten,jahre,zwei,Jahre,Jahre
erinnerungen,sangriadurchtränken,alten,Sangria durchtränken,durcheinandertränken
verlassen,erinnerungen,sangriadurchtränken,Erinnerungen,Erinnerungen
dort,engländer,nicht,Engländer,Engländer
in,raufhandel,dort,Raufhandel,Taufhandel
und,nacht,zweiten,Nacht,Nacht
in,gärtners,des,Gärtner,Gärtners
inclusive,zimmer,meinem,Zimmer,zimmer
-,inclusive,zimmer,inklusive,inklusive
youtube,//www,http,WWW,//www
com/watch,youtube,//www,YouTube,YouTube
v=awOPflsg-Rk,com/watch,youtube,vom,Comanche
wir,sekkieren,nicht,sekkieren,sekretieren
auf,Engländerhotel,einem,Engländerhotel,Endländerhotel
er,daß,dankbar,dass,dass
aber,KÖnnte,-,Könnte,Könnte
so,gaaaar,Idee,Giaur,Aargau
Burgenland,Siegendorf,in,Siegendorf,Seegendorf
zu,Mörbisch,nach,Sorbisch,Mörbisch
die,Siegendorf,in,Siegendorf,Seegendorf
der,Untergeschoßes,des,Untergeschoßes,Untergeschosses
verrichtet,Notdurften,seine,Notdurften,Not durften
als,Opatija,habe,Optima,Optimat
ewig,postings,deine,postings,Postillion
um,speicher,ewig,Speicher,speicher
Pölten,St,nahe,St,Set
am,LH,vom,LH,HL
nackt,frau,damalige,frau,Frau
gelegen,bett,im,Bett,Bett
geladen,umtrunk,kleinen,Umtrunk,Umtrunk
gemieteten,AirBnB,über,Arben,Airbag
hat,gschaut,verdutzter,geschaut,schaut
budget,vorgegebens,2009,vorgegebenes,vorgegeben
100-200pfund,budget,vorgegebens,Budget,Budget
im,100-200pfund,budget,100-200pfund,100-Pfund
um,monaten,3,Monaten,Monaten
probiert,hotels,10,Hotels,Hotels
für,nacht,dann,Nacht,Nacht
schön,nacht,für,Nacht,Nacht
auf,user,einem,user,User
ich,seiten,beide,seiten,seiden
-,absicht,ist,Absicht,Absicht
dafür,keks,kroatischen,Keks,Keks
absolut,saber,was,sauber,aber
dass,heisst,nicht,heißt,heißt
zwingend,suppe,die,suppe,Suppe
in,nacht,der,Nacht,Nacht
angekommen,piräus,in,Piräus,Piräus
gesucht,zimmer,ein,Zimmer,zimmer
mit,tag,nächsten,tag,Tag
auf,fähre,der,Fähre,Fähre
zu,lieblingsinsel,die,Lieblings Insel,Lieblingsinsel
androgyne,treppenhaus,im,Treppenhaus,Treppenhaus
