left context,original word,right context,word correction,hun correction
,,,,
expertis,soviele,da,soviel,soviel
,,,,
hier,expertis,soviele,Expertise,Expertise
,,,,
möchte,posten,hier,posten,Posten
,,,,
loswerden,herzenswunsch,meinen,Herzenswunsch,Herzenswunsch
,,,,
Weltris,teris-nachfolger,den,Ternis,terig-nachfolger
,,,,
gespielt,Weltris,teris-nachfolger,Weltrats,Weltriss
,,,,
braucht,gegner/verlierer/gewinner,faden,Gegner,Gewinnerzielungsgründen
,,,,
gefragt,reaktionsfähigeit,und,Reaktionsfähigkeit,reaktionsfähig
,,,,
durchsucht,netzt,im,netzt,nett
,,,,
würde,erfolg,ohne,Erfolg,Erfolg
,,,,
oder,link,einen,link,Link
,,,,
mein,mac,zum,mac,Mac
,,,,
hatte,e-mac,mein,e-mac,e-Mac
,,,,
II,nadeldrucker,schweren,Nadeldrucker,Nadeldrucker
,,,,
schlappe,paradise,von,paradise,Paradies
,,,,
gekostet,deutschmark,9000,deutschmark,Deutschmark
,,,,
gegangen,hopps,mal,Hopps,Mopps
,,,,
ich,hab',jetzt,hab',hab
,,,,
-,gehäuse,das,Gehäuse,Gehäuse
,,,,
es,hab',-,hab',hab
,,,,
wahr,weil's,Na,weil's,Weills
,,,,
kann,sowas,ist,so was,Iowas
,,,,
die,Tripadvisor,dank,Tripadvisor,Trippstadter
,,,,
weiß,Maps,Google,Maps,Maos
,,,,
z,gibts,Osteuropa,gibst,gibst
,,,,
Städten,beliebsten,in,beliebten,beliebten
,,,,
oder,Wroclaw,Riga,Wroclaw,Jaroslawl
,,,,
Booking,Tripadvisor,bei,Tripadvisor,Trippstadter
,,,,
com,Booking,Tripadvisor,Booking,Smoking
,,,,
etc,com,Booking,com,vom
,,,,
geschrieben,etc,com,etc.,et
,,,,
nur,wars,Oder,wars,ward
,,,,
passt,sonstwas,noch,sonst was,sonst was
,,,,
Und,Space-Bordell,einem,Space-Bordell,Spate-Bordell
,,,,
nie,Uaah,fleckig,Utah,Utah
,,,,
kommt,derStandi-Regi,mit,derStandi-Regi,Widerstand-Regi
,,,,
oder,dieStandi,in,dastand,Stadien
,,,,
Irland,Gallway,in,Gülay,Gallylen
,,,,
Duschvorhang,schlatzig-verschimmelte,total,schattig,Hitzschlag-verschimmelte
,,,,
einen,gabs,Frühstück,gabs,gab
,,,,
mit,Pantscherl,dem,Pantscher,Plantsche
,,,,
in,Tustan,Hotel,Tust an,Tust an
,,,,
Ukraine,Drohobytsch,in,Drohobytsch,Hydrolytisch
,,,,
Ich,duschen/baden,Hotels,duschen/baden,abduschenden
,,,,
Nacht,durchzechten,einer,durchzechten,durchzechtem
,,,,
in,bspw,unter,bspw.,bspw.
,,,,
Zimmergenossen,mehrbeinige,viele,mehrbeinige,mehr beinige
,,,,
war,Möbilär,das,Mobiler,Möbliere
,,,,
direkt,Jhd,18,Jhd.,Jod
,,,,
Batar,Ulaan,in,Ulan,Ulan
,,,,
haben,Batar,Ulaan,Baar,Baar
,,,,
Champion,unsereren,Zimmer,unsere Ren,untereren
,,,,
auch,funktioniert's,mir,funktioniertes,Funktionierens
,,,,
noch,IE,mit,IE,SIE
,,,,
-,firefox,mit,Firefox,Firefox
,,,,
erwischt,gacken,beim,gackern,hacken
,,,,
ja,muß,Gestank,muss,muss
,,,,
erlebnis,bezeichnenstes,mein,bezeichnetes,bezeichnetes
,,,,
hatte,erlebnis,bezeichnenstes,Erlebnis,Erlebnis
,,,,
francisco,san,in,sang,sahn
,,,,
meine,francisco,san,Francisco,Francisco
,,,,
und,freundin,meine,Freundin,Freundin
,,,,
als,sache,der,Sache,Sache
,,,,
neben,mann,ein,Mann,Mann
,,,,
stand,bett,unserem,Bett,Bett
,,,,
ich,rausgerannt,sofort,rausgerannt,raus gerannt
,,,,
war,hotelmanager,der,Hotel Manager,Hotelmanager
,,,,
unser,gast,anderen,gast,sagt
,,,,
aufgeperrt,zimmer,unser,Zimmer,zimmer
,,,,
hat,aufgeperrt,zimmer,aufgesperrt,aufgesperrt
,,,,
seins,wär,es,wär,wäre
,,,,
allerdings,seins,wär,seins,Seins
,,,,
anderen,nem,in,Nehm,dem
,,,,
-,stock,anderen,stock,Stock
,,,,
sie,Naja,-,Naja,Nama
,,,,
wohl,wars,angenehm,warst,ward
,,,,
aber,wär,einpacken,wär,wäre
,,,,
Chili,Forza,-,Forza,Forsa
,,,,
diablo,el,Chili,elf,elf
,,,,
gefolgt,diablo,el,Diabolo,Diabolo
,,,,
Tränentreiber,la,a,la,al
,,,,
Durchlauf,Zwetschkenkompott,dem,Zwetschkenkompott,Zwetschgenkuchen
,,,,
Frau,menschenliebende,eine,menschenliebende,menschenverderbende
,,,,
sie,wär,sonst,wär,wäre
,,,,
hätte,reingerannt,dir,reingerannt,eingerannt
,,,,
und,runtergeschubst,dich,runtergeschubst,runter geschubst
,,,,
-,draufgesetzt,selbst,draufgesetzt,daraufgesetzt
,,,,
an,Meldeadresse/-stelle,eine,Meldeadresse/-stelle,Meldeadresse-stelle
,,,,
mehrfach,Multiuser,einen,Multiuser,Multimeter
,,,,
auffallend,Threads,in,Threads,Headset
,,,,
zimmer,3qm,vom,3qm,qm
,,,,
den,zimmer,3qm,Zimmer,zimmer
,,,,
im,kakerlaken-fallen,den,Kakerlaken,Kakerlaken-fallen
,,,,
und,mini-bad,verschimmelten,mini-bad,-minibad
,,,,
mit,wolldecken,den,Wolldecken,Wolldecken
,,,,
und,tigerkopf-,überdimensionalen,tigerkopf-,Kriegerkopf-
,,,,
die,delphinmotiven,und,Delphin Motiven,Delphinarien
,,,,
noch,dasein,tristen,Dasein,Dasein
,,,,
gesehen,waschmaschine,eine,Waschmaschine,Waschmaschine
,,,,
so,london,in,London,London
,,,,
wo,shops,herrliche,Shops,Shops
,,,,
zusammenstellen,knuspermix,einen,knuspermix,Knusperhexe
,,,,
befülltes,ebensolchigem,mit,ebensolchem,ebensolchem
,,,,
papiersackerl,befülltes,ebensolchigem,gefülltes,befülltes
,,,,
hatte,papiersackerl,befülltes,Papiersäcke,Lackmuspapier
,,,,
abgelegt,nachtkastl,am,Nachtasyl,Nachtkühle
,,,,
wurde,nacht,der,Nacht,Nacht
,,,,
und,kratz-,leisen,kratz-,kratz
,,,,
geweckt,knuspergeräusch,und,knuspergeräusch,Knusperhäuschen
,,,,
sitzen,sackerl,im,Säckel,ackerlos
,,,,
starr,mampfen,genüsslich,kämpfen,Mampfen
,,,,
hab,schreck,vor,schreck,Schreck
,,,,
animalisches,nix,zwar,nix,Unix
,,,,
die,raum,im,raum,Raum
,,,,
-,knuspermaus,britische,knuspermaus,Knusperns
,,,,
Nicht,Exfreundin,meiner,Exfreunden,Exfreundin
,,,,
-,usw,Nacht,usw.,usw.
,,,,
ja,is,das,ist,iss
,,,,
Euch,hätt',ich,hätt',hätte
,,,,
Nacht,durchzechten,einer,durchzechten,durchzechtem
,,,,
Koarl,Jössas,Nacht,Jozas,Massas
,,,,
mir,Koarl,Jössas,Karl,Karl
,,,,
in,san,mir,sang,sahn
,,,,
jo,Gibts,Indien,Gibst,Gifts
,,,,
ned,jo,Gibts,Job,je
,,,,
wie,ned,jo,neu,den
,,,,
denn,kummst,wie,kommst,krummst
,,,,
drauf,do,denn,do,so
,,,,
vor,Drausst,drauf,Draus,Draufhaust
,,,,
grod,Is,hob,Ist,GIs
,,,,
glesn,grod,Is,grob,grob
,,,,
Klosett,glesn,grod,Glens,Gleisner
,,,,
ebenfalls,account,mein,account,Account
,,,,
außergewöhnlich,gibts,London,gibst,gibst
,,,,
die,bzw,gehört,bzw.,bzw.
,,,,
überhaupt,W-Lan,das,Lang,W-LAN
,,,,
nicht,posting,ein,Hosting,Postieren
,,,,
und,gscheit,nicht,gescheit,gescheit
,,,,
hinein,gedanken,meine,Gedanken,Gedanken
,,,,
-,interpretation,meine,Interpretation,Interpretation
,,,,
frage,DAnn,-,Dann,Dann
,,,,
aber,hotel,kein,Hotel,Hotel
,,,,
reservierungen,ÖBB,fast,ÖBB,BÖBIG
,,,,
für,reservierungen,ÖBB,Reservierungen,Reservierungen
,,,,
2,italien,für,Italien,Italien
,,,,
+,personen,weibliche,Personen,Personen
,,,,
für,reservierung,vorsorgliche,Reservierung,Reservierung
,,,,
Ein,fahrten,alle,Fahrten,Fahrten
,,,,
und,schlafwaggon,im,Schlafwagen,Schlafwaggon
,,,,
ein,jedesmal,haben,jedes Mal,jedes mal
,,,,
reserviert,frauenabteil,ein,Frauen Abteil,Frauenabteil
,,,,
Wir,fall,der,fall,Fall
,,,,
zusammengelegen,männern,mit,Männern,Männern
,,,,
Allein,zusammengelegen,männern,zusammengelegen,zusammengelegten
,,,,
habe,reservierungen,die,Reservierungen,Reservierungen
,,,,
zusammen,eur,80,eur.,EUR
,,,,
reicht,hotelerlebnisse,schlimme,Hotel Erlebnisse,Hotelerlebnisse
,,,,
sollte,HOtels,Solche,Hotels,Hotels
,,,,
nicht,Exfreundin,meine,Exfreunden,Exfreundin
,,,,
auch,Locations,vielen,Locations,Lotsenstation
,,,,
oder,Ringerl,ohne,Ringer,Ringer
,,,,
vermietet,wohnung,Klein,Wohnung,Wohnung
,,,,
darum,gehts,hier,gehst,gehst
,,,,
topic,off,eher,off,soff
,,,,
hier,topic,off,Topic,topisch
,,,,
Dämpfe,Chlorhältige,auf,Chlor haltige,Chlorhaltige
,,,,
schlafen,zimmer,schönen,Zimmer,zimmer
,,,,
gab,internat,unserem,Internat,Internat
,,,,
mit,stil,70er,Stil,Stil
,,,,
in,stoffbezug,rauem,Stoff Bezug,Stoffbezug
,,,,
im,hotel,das,Hotel,Hotel
,,,,
den,ort,im,Ort,rot
,,,,
So,internat,unser,Internat,Internat
,,,,
im,nacht,letzte,Nacht,Nacht
,,,,
und,bett,selben,Bett,Bett
,,,,
verbracht,couch,gleichen,Couch,Couch
,,,,
war,hotelerlebnis,schlimmstes,Hotel Erlebnis,Hotelerlebnis
,,,,
in,peking,in,Peking,Peking
,,,,
-,superhotel,einem,super Hotel,Superhotel
,,,,
hat,sohn,12-jähriger,Sohn,Sohn
,,,,
im,schlafwanderung,eine,schlaf Wanderung,Schlafwanderung
,,,,
unternommen,stock,18,stock,Stock
,,,,
hab,fluren,langen,Fluren,Fluren
,,,,
und,barfuss,beider,barfuß,barfuß
,,,,
gerade,pyjamas,in,Pyjamas,Pyjamas
,,,,
erwischt,lift,vorm,Lift,lieft
,,,,
englisch,receptionspersonal,das,receptionspersonal,Stationspersonal
,,,,
um,1x,haben,1x,ex
,,,,
und,23Uhr,um,23Uhr,Uhr
,,,,
gute,ne,aber,ne,nie
,,,,
doch,Gibs,-,Gäbs,Gins
,,,,
und,inhalt-,weil,inhalt-,inhalts-
,,,,
weiterhin,Spass,viel,Spaß,Spaß
,,,,
war,Sexerlebnis,schlimmstes,Sexerlebnis,Seeerlebnis
,,,,
weil,xy,war,Oxyd,xi
,,,,
Ihr,derstandard,im,der Standard,Aderstandard
,,,,
ersetzt,UID,eine,UID,UND
,,,,
die,unlöschbar,wirklich,unlösbar,auslöschbar
,,,,
einer,ersteinmal,mir,erst einmal,erst einmal
,,,,
auch,zugebenermaßen,aber,zugebenermaßen,zugeben ermaßen
,,,,
