left context,original word,right context,word correction,hun correction
im,männerunterhose,verstaubte,Männer Unterhose,Männerunterhose
ein,kasten,im,Kasten,Kasten
mit,telephon,rotes,Telefon,Telephon
am,wählscheibe,mit,Wählscheibe,Wählscheibe
wie,nachkastl,am,nachkamst,nachkantisch
besten,breschnjews,aus,Breschnews,brechtsches
und,zeiten,besten,Zeiten,Zeiten
der,dreh-lichtschalter,ein,dreh-lichtschalter,-drehlichtschalter
oder,ventilator,uralten,ventilator,Ventilator
aktiviert,nachkastllampe,die,nachkastllampe,Nachkommastelle
ein,wohnraum,im,Wohnraum,Wohnraum
glasvitrinenschrank,grosser,ausrangierter,grosser,großer
komplett,glasvitrinenschrank,grosser,Glasvitrinen Schrank,Glasvitrinenschrank
bogen,grossen,einer,Großen,großen
schräges,kategorie,die,Kategorie,Kategorie
erlebnis,hotelerlebnis,schräges,Hotel Erlebnis,Hotelerlebnis
einordnen,erlebnis,hotelerlebnis,Erlebnis,Erlebnis
aber,reiterhof,ein,Reiter Hof,Reiterhof
für,reiturlaub,genug,Resturlaub,Reiturlaub
mit,familie,für,Familie,Familie
und,kindern-6,zwei,kindern-6,Kindern-6
einem,jahre-in,11,Jahre,Jahre-in
an,weißenbach,in,Weidenbach,Weißenbach
gebucht,enns,der,Enns,Enns
ohne,appartement,gebucht,Appartement,Appartement
wurde,kochgelegenheit,ohne,Kochgelegenheit,Kochgelegenheit
angepriesen,ferienwohnung,als,Ferienwohnung,Ferienwohnung
und,reitstunden,tägliche,Reitstunden,reit stunden
mithilfe,pflegepferde,und,Pflege Pferde,Pflegepferde
usw,stall,im,stall,Stall
eine,glück,viel,glück,Glück
für,tag,am,tag,Tag
für,kinder-nix,die,kinder-nix,Kinder-nix
mit,bad,erwachsene,bad,bat
spinnweben,schimmelkultur,ausgeprägter,Schimmel Kultur,Schimmelkultur
wie,spinnweben,schimmelkultur,Spinnweben,Spinnweben
e-verbindungsdosen,munsters,den,Munsters,Musterns
wo,e-verbindungsdosen,munsters,verbindungslosen,-verbindungsdosen
heraus,drähte,blanken,Drähte,Drähte
hunde,riesen,drei,riesen,reisen
welche,hunde,riesen,Hunde,Hunde
und,ställen,den,Ställen,Ställen
in,misthaufen,und,Misthaufen,Misthaufen
trabten,küche,die,Küche,Küche
aus,durst,ihren,durst,Durst
stillten,wc-muscheln,den,wo,WC-muscheln
nach,abruch,stillten,Abbruch,brauch
und,nächten,3,Nächten,Nächten
welche,besitzerin,eine,Besitzerin,Besitzerin
hatte,frechheit,die,Frechheit,Frechheit
vor,zimmer,2,Zimmer,zimmer
wars,ort,vor,ort,rot
zimmer,7er,ein,7er,er
-,juhu,zimmer,juhu,-uhu
-,Exfreundin,meiner,Exfreunden,Exfreundin
Eisenteile,wegstehenden,die,wegstehenden,wegsehenden
unangenehm,aüßerst,waren,äußerst,versüßest
und,Ohridsee,zum,Ohridsee,Ohridee
mit,Privatquatier,tolles,Privatquartier,Privatquartier
expertis,soviele,da,soviel,soviel
hier,expertis,soviele,Expertise,Expertise
loswerden,herzenswunsch,meinen,Herzenswunsch,Herzenswunsch
Weltris,teris-nachfolger,den,Ternis,terig-nachfolger
gespielt,Weltris,teris-nachfolger,Weltrats,Weltriss
braucht,gegner/verlierer/gewinner,faden,Gegner,Gewinnerzielungsgründen
gefragt,reaktionsfähigeit,und,Reaktionsfähigkeit,reaktionsfähig
durchsucht,netzt,im,netzt,nett
oder,link,einen,link,Link
mein,mac,zum,mac,Mac
hatte,e-mac,mein,e-mac,e-Mac
II,nadeldrucker,schweren,Nadeldrucker,Nadeldrucker
schlappe,paradise,von,paradise,Paradies
gekostet,deutschmark,9000,deutschmark,Deutschmark
gegangen,hopps,mal,Hopps,Mopps
ich,hab',jetzt,hab',hab
-,gehäuse,das,Gehäuse,Gehäuse
wahr,weil's,Na,weil's,Weills
kann,sowas,ist,so was,Iowas
die,Tripadvisor,dank,Tripadvisor,Trippstadter
weiß,Maps,Google,Maps,Maos
z,gibts,Osteuropa,gibst,gibst
Städten,beliebsten,in,beliebten,beliebten
oder,Wroclaw,Riga,Wroclaw,Jaroslawl
com,Booking,Tripadvisor,Booking,Smoking
passt,sonstwas,noch,sonst was,sonst was
Und,Space-Bordell,einem,Space-Bordell,Spate-Bordell
nie,Uaah,fleckig,Utah,Utah
kommt,derStandi-Regi,mit,derStandi-Regi,Widerstand-Regi
oder,dieStandi,in,dastand,Stadien
Irland,Gallway,in,Gülay,Gallylen
Duschvorhang,schlatzig-verschimmelte,total,schattig,Hitzschlag-verschimmelte
mit,Pantscherl,dem,Pantscher,Plantsche
in,Tustan,Hotel,Tust an,Tust an
Ukraine,Drohobytsch,in,Drohobytsch,Hydrolytisch
Ich,duschen/baden,Hotels,duschen/baden,abduschenden
Nacht,durchzechten,einer,durchzechten,durchzechtem
in,bspw,unter,bspw.,bspw.
Zimmergenossen,mehrbeinige,viele,mehrbeinige,mehr beinige
war,Möbilär,das,Mobiler,Möbliere
direkt,Jhd,18,Jhd.,Jod
Batar,Ulaan,in,Ulan,Ulan
haben,Batar,Ulaan,Baar,Baar
Champion,unsereren,Zimmer,unsere Ren,untereren
auch,funktioniert's,mir,funktioniertes,Funktionierens
noch,IE,mit,IE,SIE
-,firefox,mit,Firefox,Firefox
erwischt,gacken,beim,gackern,hacken
ja,muß,Gestank,muss,muss
erlebnis,bezeichnenstes,mein,bezeichnetes,bezeichnetes
francisco,san,in,sang,sahn
meine,francisco,san,Francisco,Francisco
und,freundin,meine,Freundin,Freundin
als,sache,der,Sache,Sache
neben,mann,ein,Mann,Mann
stand,bett,unserem,Bett,Bett
ich,rausgerannt,sofort,rausgerannt,raus gerannt
war,hotelmanager,der,Hotel Manager,Hotelmanager
unser,gast,anderen,gast,sagt
hat,aufgeperrt,zimmer,aufgesperrt,aufgesperrt
seins,wär,es,wär,wäre
allerdings,seins,wär,seins,Seins
-,stock,anderen,stock,Stock
sie,Naja,-,Naja,Nama
wohl,wars,angenehm,warst,ward
Chili,Forza,-,Forza,Forsa
diablo,el,Chili,elf,elf
gefolgt,diablo,el,Diabolo,Diabolo
Tränentreiber,la,a,la,al
Durchlauf,Zwetschkenkompott,dem,Zwetschkenkompott,Zwetschgenkuchen
Frau,menschenliebende,eine,menschenliebende,menschenverderbende
hätte,reingerannt,dir,reingerannt,eingerannt
und,runtergeschubst,dich,runtergeschubst,runter geschubst
-,draufgesetzt,selbst,draufgesetzt,daraufgesetzt
an,Meldeadresse/-stelle,eine,Meldeadresse/-stelle,Meldeadresse-stelle
mehrfach,Multiuser,einen,Multiuser,Multimeter
auffallend,Threads,in,Threads,Headset
zimmer,3qm,vom,3qm,qm
im,kakerlaken-fallen,den,Kakerlaken,Kakerlaken-fallen
und,mini-bad,verschimmelten,mini-bad,-minibad
mit,wolldecken,den,Wolldecken,Wolldecken
und,tigerkopf-,überdimensionalen,tigerkopf-,Kriegerkopf-
die,delphinmotiven,und,Delphin Motiven,Delphinarien
noch,dasein,tristen,Dasein,Dasein
gesehen,waschmaschine,eine,Waschmaschine,Waschmaschine
so,london,in,London,London
wo,shops,herrliche,Shops,Shops
zusammenstellen,knuspermix,einen,knuspermix,Knusperhexe
befülltes,ebensolchigem,mit,ebensolchem,ebensolchem
papiersackerl,befülltes,ebensolchigem,gefülltes,befülltes
hatte,papiersackerl,befülltes,Papiersäcke,Lackmuspapier
abgelegt,nachtkastl,am,Nachtasyl,Nachtkühle
und,kratz-,leisen,kratz-,kratz
geweckt,knuspergeräusch,und,knuspergeräusch,Knusperhäuschen
sitzen,sackerl,im,Säckel,ackerlos
starr,mampfen,genüsslich,kämpfen,Mampfen
hab,schreck,vor,schreck,Schreck
die,raum,im,raum,Raum
-,knuspermaus,britische,knuspermaus,Knusperns
ja,is,das,ist,iss
Euch,hätt',ich,hätt',hätte
Koarl,Jössas,Nacht,Jozas,Massas
mir,Koarl,Jössas,Karl,Karl
ned,jo,Gibts,Job,je
wie,ned,jo,neu,den
denn,kummst,wie,kommst,krummst
drauf,do,denn,do,so
vor,Drausst,drauf,Draus,Draufhaust
grod,Is,hob,Ist,GIs
glesn,grod,Is,grob,grob
Klosett,glesn,grod,Glens,Gleisner
ebenfalls,account,mein,account,Account
überhaupt,W-Lan,das,Lang,W-LAN
nicht,posting,ein,Hosting,Postieren
und,gscheit,nicht,gescheit,gescheit
hinein,gedanken,meine,Gedanken,Gedanken
-,interpretation,meine,Interpretation,Interpretation
frage,DAnn,-,Dann,Dann
aber,hotel,kein,Hotel,Hotel
reservierungen,ÖBB,fast,ÖBB,BÖBIG
für,reservierungen,ÖBB,Reservierungen,Reservierungen
2,italien,für,Italien,Italien
+,personen,weibliche,Personen,Personen
für,reservierung,vorsorgliche,Reservierung,Reservierung
Ein,fahrten,alle,Fahrten,Fahrten
und,schlafwaggon,im,Schlafwagen,Schlafwaggon
ein,jedesmal,haben,jedes Mal,jedes mal
reserviert,frauenabteil,ein,Frauen Abteil,Frauenabteil
Wir,fall,der,fall,Fall
zusammengelegen,männern,mit,Männern,Männern
Allein,zusammengelegen,männern,zusammengelegen,zusammengelegten
zusammen,eur,80,eur.,EUR
reicht,hotelerlebnisse,schlimme,Hotel Erlebnisse,Hotelerlebnisse
sollte,HOtels,Solche,Hotels,Hotels
auch,Locations,vielen,Locations,Lotsenstation
oder,Ringerl,ohne,Ringer,Ringer
vermietet,wohnung,Klein,Wohnung,Wohnung
topic,off,eher,off,soff
hier,topic,off,Topic,topisch
Dämpfe,Chlorhältige,auf,Chlor haltige,Chlorhaltige
gab,internat,unserem,Internat,Internat
mit,stil,70er,Stil,Stil
in,stoffbezug,rauem,Stoff Bezug,Stoffbezug
den,ort,im,Ort,rot
verbracht,couch,gleichen,Couch,Couch
in,peking,in,Peking,Peking
-,superhotel,einem,super Hotel,Superhotel
hat,sohn,12-jähriger,Sohn,Sohn
im,schlafwanderung,eine,schlaf Wanderung,Schlafwanderung
hab,fluren,langen,Fluren,Fluren
und,barfuss,beider,barfuß,barfuß
gerade,pyjamas,in,Pyjamas,Pyjamas
erwischt,lift,vorm,Lift,lieft
englisch,receptionspersonal,das,receptionspersonal,Stationspersonal
um,1x,haben,1x,ex
und,23Uhr,um,23Uhr,Uhr
doch,Gibs,-,Gäbs,Gins
und,inhalt-,weil,inhalt-,inhalts-
weiterhin,Spass,viel,Spaß,Spaß
war,Sexerlebnis,schlimmstes,Sexerlebnis,Seeerlebnis
weil,xy,war,Oxyd,xi
Ihr,derstandard,im,der Standard,Aderstandard
ersetzt,UID,eine,UID,UND
die,unlöschbar,wirklich,unlösbar,auslöschbar
einer,ersteinmal,mir,erst einmal,erst einmal
auch,zugebenermaßen,aber,zugebenermaßen,zugeben ermaßen
die,Tjaja,-,Jaja,Tja ja
war,Reception,die,Rezeption,Rezeption
mit,Snoopyaufdruck,mit,Snoopyaufdruck,Stempelaufdruck
Wir,Teddybärenaufdruck,mit,Teddybärenaufdruck,Stempelaufdruck
und,aufgeraucht,Marlboro,aufgeraucht,aufgetaucht
an,wirds,Jetzt,wird,wird
nicht,reissen,zu,Reißen,reißen
Geschockt,Piefkes,die,Piekest,Piesacke
und,D-Mark-,niederträchtigen,D-Mark-,Marken-
beinahe,Austriaken,diese,Austrinken,Austrinken
gar,Moretti,namens,Moretti,Timorer
zur,Alpentaliban,diese,Alpentaliban,Talibantrupp
erwartet,strandbuchten,weitläufige,strandbuchten,Strandbuchten
hat,stadt,die,Stadt,statt
zu,aufenthalt,den,Aufenthalt,Aufenthalt
damit,problem,kein,Problem,Problem
parken,ausserhalb,weit,außerhalb,außerhalb
aber,auto-los,recht,auto-los,auto- los
viel,angranteln,-,angrinsten,an granteln
-,dragomira,gell,Dragomir,Mandragora
-,forum,öffentlichen,Forum,Forum
du,Ws,-,Was,WCs
ist,Sparkling,-,Sparkling,Sparklinge
kuscheln,schonmal,auch,schon mal,schon mal
autolos,Abbazia,-,Abazi,Abbaside
Nicht,autolos,Abbazia,Auto los,autolog
beim,könnens,parken,Könnens,Könnens
und,k&k-Städte,alte,k&k-Städte,Kapstädter
Bali,Denpasar,in,Denpasar,Basenpaar
Lage,verruchte,die,verruchte,verrichte
Typin,Typ/die,der,Typ/die,Typisiere
der/die,Typin,Typ/die,Typen,Typen
schon,der/die,Typin,der/die,dezidiere
auf,verantwortung,die,Verantwortung,Verantwortung
abwälzen,poster,die,poster,Poster
meine,klarnamen,meinen,klarkamen,Klarnamen
meine,adresse,meine,Adresse,Adresse
kriegt,geburtsdaten,meine,Geburtsdaten,Geburtsdaten
politisch,zukunft,in,Zukunft,Zukunft
fascho-mainstream,ökologistischen,antihumanen,ökologistischen,ökologischen
angepasst,fascho-mainstream,ökologistischen,fasch,ASchO-mainstream
D,Stoascheißerkoarl,Da,Stoascheißerkoarl,Schließerkontakt
das,Anflegeln,Ist,An flegeln,Analegeln
an,Blanc,Sauvignon,Blanc,Blank
mit,Bro,-,Bor,Bor
ich,daß,Menschen,dass,dass
ungezogenes,gaaaanz,ein,Galaanzug,ganz
nehme,ihm/ihr,bei,ihm/ihr,ihriger
aus,Postings,die,Hostings,Postings
des,wahl,der,Wahl,Wahl
auf,hotels,des,Hotels,Hotels
erinnerungen,sangriadurchtränken,alten,Sangria durchtränken,durcheinandertränken
dort,engländer,nicht,Engländer,Engländer
in,raufhandel,dort,Raufhandel,Taufhandel
in,gärtners,des,Gärtner,Gärtners
-,inclusive,zimmer,inklusive,inklusive
youtube,//www,http,WWW,//www
com/watch,youtube,//www,YouTube,YouTube
v=awOPflsg-Rk,com/watch,youtube,vom,Comanche
wir,sekkieren,nicht,sekkieren,sekretieren
auf,Engländerhotel,einem,Engländerhotel,Endländerhotel
aber,KÖnnte,-,Könnte,Könnte
so,gaaaar,Idee,Giaur,Aargau
Burgenland,Siegendorf,in,Siegendorf,Seegendorf
zu,Mörbisch,nach,Sorbisch,Mörbisch
der,Untergeschoßes,des,Untergeschoßes,Untergeschosses
verrichtet,Notdurften,seine,Notdurften,Not durften
ewig,postings,deine,postings,Postillion
um,speicher,ewig,Speicher,speicher
Pölten,St,nahe,St,Set
am,LH,vom,LH,HL
nackt,frau,damalige,frau,Frau
geladen,umtrunk,kleinen,Umtrunk,Umtrunk
gemieteten,AirBnB,über,Arben,Airbag
hat,gschaut,verdutzter,geschaut,schaut
budget,vorgegebens,2009,vorgegebenes,vorgegeben
100-200pfund,budget,vorgegebens,Budget,Budget
im,100-200pfund,budget,100-200pfund,100-Pfund
um,monaten,3,Monaten,Monaten
auf,user,einem,user,User
ich,seiten,beide,seiten,seiden
-,absicht,ist,Absicht,Absicht
dafür,keks,kroatischen,Keks,Keks
absolut,saber,was,sauber,aber
dass,heisst,nicht,heißt,heißt
zwingend,suppe,die,suppe,Suppe
angekommen,piräus,in,Piräus,Piräus
auf,fähre,der,Fähre,Fähre
zu,lieblingsinsel,die,Lieblings Insel,Lieblingsinsel
androgyne,treppenhaus,im,Treppenhaus,Treppenhaus
im,herrschaften,androgyne,Herrschaften,Herrschaften
viele,hof,im,Hof,Hof
und,tschick,viele,schick,schick
in,gummerln,menge,gammeln,grummeln
am,knabbergeräusche,nacht,knabbergeräusche,Knirschgeräusche
danach,echse,fette,Echse,Echse
sechs,grad,30,grad,Grad
erster,seufzern,und,Seufzern,Seufzern
braucht,gedanke,erster,Gedanke,Gedanke
verbandszeug,hilfe,wer,Hilfe,Hilfe
erst,verbandszeug,hilfe,Verbandszeug,Verbandszeug
Nach,Larnaka,in,Larkana,Karnak
Briefkästen,Off-shore,meiner,sohre,Offshoreanlage
perfekten,zugegebenerweise,meinem,zugegeben erweise,zugegeben erweise
wie,Nix,konnte,Nix,Nixe
Geschöpf,levantische,Dieses,levitische,levantinische
angekommen,Jhdt,21,Jhdt.,Jh.
ist,mißraten,nicht,missraten,missraten
und,Trollerei,eine,Tollerei,Hereinrolle
stehst,Schuach,die,Schach,Schach
freundin,baroli,-,Bartoli,Paroli
hat,at-webmaster,derstandard,at-webmaster,AT-webmaster
in,wenns,kann,wenn,wenn
lassma,Ok,hoch,Ok,Oka
die,lassma,Ok,Plasma,Plasma
Steak,Kobe,mein,Kobe,Koje
Trüffel,Perigord,ausdrücklich,Perigordien,Perigon
natürlich,gings,So,Gings,ging
antanzen,Restaurantmanager,den,Restaurantmanager,Restaurantlager
trotzdem,ok,entschuldigt,ok,Lok
dort,Saftbude,diese,Saft Bude,Saftbude
nicht,Escorts,die,Escort,Escort
San,Town,Down,Town,Ton
unerträglicher,Hotel/Jugendherberge,einem,Hotel/Jugendherberge,Hotel-Jugendherberge
Doherty,Pete,von,Pete,Peter
lediglich,Doherty,Pete,Doherty,Dorther
_articlePage=11,at/2000004506993/Frequently-Asked-Questions-zur-Community,//derstandard,atz,at/2000004506993/Frequently-Asked-Questions-zur-Community
-,cmb,_articlePage=11,Combo,cm
Hass,dochder,tief,doch der,doch der
Opatija','autoloses,kein,'autoloses,-autoloses
Vor,Opatija','autoloses,Optima,Optimat
Bean,Mr,-,Mir,Mr
-,Bean,Mr,Bean,Bea
und,dark-angel-azrael,sich,Dark,dar-angel-azrael
-,geschichte,eine,Geschichte,Geschichte
cancelling,noice,selbst,nie,Choice
Kopfhörer,cancelling,noice,canceln,Schelling
eine,hoteltechnisch,ist,hoteltechnisch,spieltechnisch
and,Bed,dort,Bad,Bde
Breakfast,and,Bed,an,ans
-,Breakfast,and,Breakfast,Break fast
an,latzhose,grüne,Latzhose,Latzhose
auf,strohut,einen,Strohhut,Astrohut
ging,isoliermatte,eine,isoliermatte,Isoliermatte
kommend,terrasse,der,Terrasse,Terrasse
durch,ola,trockenen,Olaf,Lola
meiner,gesicht,das,Gesicht,gesiecht
versa,vice,vergessen,voce,vice
sie,versa,vice,versag,versa
de/themen/mps/,regenbogenwald,//www,Regenbogen Wald,Regenbogenwald
-,de/themen/mps/,regenbogenwald,Themen,Mythenthemen
gerne,Krenn,Bischof,Krenn,Kreon
im,Mitterdorf,-,Mitterndorf,Mitterndorf
-,Mürztal,im,Mürztaler,Mürztal
-,heimgeflogen,sofort,heimgeflogen,heim geflogen
du,bisch,-,Busch,misch
um,gegoogelt,Isoliermatten,gemogelt,gegoogelt
zu,Posting,dein,Hosting,Posting
San,Khao,Bangkoker,Khoo,Khan
einquartieren,Road,San,Road,Roda
und,Eivissa,-,Elvisse,Eisvisa
